Time (s),Power (W)
293,2076.511305
294,2399.561245
295,2076.511305
296,1573.757041
297,2035.632044
298,2191.38915
299,2191.38915
300,1537.854497
301,1187.293402
302,1308.498304
303,648.2234352
304,296.6646944
305,102.9425846
306,59.35724146
307,-123.7238457
308,117.3704398
309,-52.81434042
310,-995.4607797
311,-626.2080195
312,-895.2482373
313,-544.2061448
314,-328.2910974
315,-124.3753275
316,71.89323358
317,901.4954811
318,472.3787009
319,-159.85053
320,-559.8596743
321,-1757.945623
322,-2139.740421
323,-509.9656629
324,-134.6400329
325,138.0873736
326,-520.2710514
327,-491.1132395
328,-1428.679515
329,-550.2128636
330,-1009.325613
331,-1032.537911
332,-645.7016537
333,-44.62540523
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,138.3544863
348,1489.777365
349,2747.321072
350,3562.103651
351,4163.26836
352,4899.909652
353,5175.525917
354,5495.259015
355,3441.921088
356,4310.232936
357,4494.651895
358,4957.401025
359,6160.288468
360,3946.997473
361,4102.860842
362,3437.270811
363,3980.59413
364,4452.047319
365,4794.585219
366,2859.208602
367,3231.551578
368,2389.106653
369,1678.826882
370,3034.626185
371,4846.590615
372,4017.265623
373,2678.280614
374,2678.280614
375,2678.280614
376,2678.280614
377,2678.280614
378,3035.391487
379,3415.692838
380,3097.817989
381,2395.791082
382,1661.673995
383,217.8414816
384,-201.7177377
385,742.6995739
386,-3254.831352
387,-3812.308953
388,-5675.518533
389,-4043.358282
390,-3686.569642
391,-3571.634208
392,-3418.62406
393,-2358.875783
394,-3023.039806
395,-2448.579277
396,-1569.161243
397,-343.2657151
398,0
399,0
400,0
401,0
402,0
403,600.9909113
404,1920.077257
405,2939.798712
406,3692.304812
407,4724.742299
408,5746.732775
409,6639.621927
410,6303.245468
411,2710.93765
412,5576.008187
413,5160.705267
414,4218.843171
415,2233.958937
416,1634.587592
417,1163.827751
418,995.5380138
419,663.3669604
420,-102.8068906
421,-4870.57871
422,-5122.244984
423,-4603.845731
424,-3928.835525
425,-3375.170861
426,-2969.872509
427,-2384.16296
428,-1510.915305
429,-257.9108911
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,928.4889424
449,2284.353486
450,3170.97939
451,3932.821904
452,4964.61196
453,5988.153347
454,7002.481267
455,7877.474216
456,4756.299239
457,4781.49139
458,7706.488326
459,6004.947914
460,3978.823053
461,5671.224045
462,3441.187593
463,4036.280136
464,4041.318496
465,2340.589557
466,3035.391487
467,2876.756814
468,2171.302339
469,1831.984468
470,3517.354949
471,2678.280614
472,1651.376756
473,2320.517867
474,2302.338329
475,2105.925491
476,2613.047187
477,2613.047187
478,2613.047187
479,2613.047187
480,2613.047187
481,2079.975992
482,2939.471243
483,2781.485003
484,3507.78965
485,1766.337547
486,2079.975992
487,2584.44426
488,2584.44426
489,2054.262406
490,2028.783473
491,2178.025215
492,-244.5506401
493,-1632.296288
494,-2584.989463
495,-3147.183442
496,-3824.181228
497,-4620.450591
498,-3706.902628
499,-4326.085135
500,-3698.812124
501,-2887.482583
502,-2835.00835
503,-2282.65612
504,-1226.586137
505,-53.59776556
506,0
507,0
508,0
509,0
510,0
511,185.6703611
512,964.3872746
513,1346.445157
514,1067.058201
515,1910.085265
516,1498.271854
517,1411.644726
518,1870.909971
519,3052.457152
520,3305.929088
521,3206.422409
522,2941.530761
523,2856.751754
524,2531.716002
525,2897.982704
526,3065.901286
527,2790.387316
528,2663.963927
529,2120.107115
530,1647.93789
531,1402.113359
532,1402.113359
533,1402.113359
534,1402.113359
535,1402.113359
536,2710.93765
537,1862.692494
538,1884.463197
539,700.3618144
540,543.7683685
541,1031.045243
542,1402.113359
543,1402.113359
544,125.3304632
545,-1141.315221
546,-4890.302919
547,-4326.085135
548,-3698.812124
549,-3357.580888
550,-2802.432145
551,-2122.314151
552,-912.4142991
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,928.4889424
570,2284.353486
571,3170.97939
572,3707.869309
